// Format:							
//							
// 		Note: The order of the tables MUST match the definition in WLAN driver.
//							
//		Power Limit Table Parameter Definition					
//		Band:			2.4G/5G		
//		Bandwidth:		20/40/80/160 MHZ			
//		RF Path:		1/2/3/4 Transmit RF			
//		Rate Section:	CCK/OFDM/HT/VHT				
//		Regulation: 	FCC/ETSI/MKK				
//							
//		Description:					
//		1. IF in 1T test
//		2. power is real dBm.					
//		3. // is for comment.					
//							
// 		NA is non-release channle.					
//							
//							
//Table 1: ===========================================							
//							
##	2.4G, 20M, 1T, CCK, //(1M;2M;5.5M;11M)						
##	START
##	#3#	FCC	ETSI	MKK	
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	16	16	16	
CH46	16	16	16	
//5G Band 2       	  						
CH54	16	16	16	
CH62	15	16	16	
//5G Band 3       							
CH102	15	16	16	
CH110	19	16	16	
CH118	19	16	16	
CH126	19	16	16	
CH134	19	16	16	
//5G Band 4         							
CH151	16	16	NA	
CH159	16	16	NA	
##	END       						
//                							
//Table 17: ===========================================							
//							
##	5G, 40M, 2T, HT, //(MCS8~MCS15)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	15	15	15	
CH46	15	15	15	
//5G Band 2       	  						
CH54	15	15	15	
CH62	14	15	15	
//5G Band 3       	  						
CH102	14	15	15	
CH110	18	15	15	
CH118	18	15	15	
CH126	18	15	15	
CH134	18	15	15	
//5G Band 4       	  						
CH151	15	15	NA	
CH159	15	15	NA	
##	END						
//                							
//Table 18: ===========================================							
//							
##	5G, 40M, 3T, HT, //(MCS16~MCS23)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	14	14	14	
CH46	14	14	14	
//5G Band 2       	  						
CH54	14	14	14	
CH62	13	14	14	
//5G Band 3       	  						
CH102	13	14	14	
CH110	17	14	14	
CH118	17	14	14	
CH126	17	14	14	
CH134	17	14	14	
//5G Band 4       	  						
CH151	14	14	NA	
CH159	14	14	NA	
##	END						
//                							
//Table 19: ===========================================							
//							
##	5G, 40M, 4T, HT, //(MCS24~MCS31)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH38	13	13	13	
CH46	13	13	13	
//5G Band 2       	  						
CH54	13	13	13	
CH62	12	13	13	
//5G Band 3       	  						
CH102	12	13	13	
CH110	16	13	13	
CH118	16	13	13	
CH126	16	13	13	
CH134	16	13	13	
//5G Band 4       	  						
CH151	13	13	NA	
CH159	13	13	NA	
##	END						
//                							
//Table 20: ===========================================							
//							
##	5G, 80M, 1T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1							
CH42	13	16	16	
//5G Band 2       	  						
CH58	13	16	16	
//5G Band 3       	  						
CH106	14	16	16	
CH122	14	16	16	
//5G Band 4       	  						
CH155	14	16	NA	
##	END						
//                							
//Table 21: ===========================================							
//							
##	5G, 80M, 2T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	12	15	15	
//5G Band 2       	  						
CH58	12	15	15	
//5G Band 3       	  						
CH106	13	15	15	
CH122	13	15	15	
//5G Band 4       	  						
CH155	13	15	NA	
##	END						
//                							
//Table 22: ===========================================							
//							
##	5G, 80M, 3T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	11	14	14	
//5G Band 2       	  						
CH58	11	14	14	
//5G Band 3       	  						
CH106	12	14	14	
CH122	12	14	14	
//5G Band 4       	  						
CH155	12	14	NA	
##	END						
//                							
//Table 23: ===========================================							
//							
##	5G, 80M, 4T, VHT, //(MCS0~MCS9)						
##	START
##	#3#	FCC	ETSI	MKK	
//5G Band 1       							
CH42	10	13	13	
//5G Band 2       	  						
CH58	10	13	13	
//5G Band 3       	  						
CH106	11	13	13	
CH122	11	13	13	
//5G Band 4       	  						
CH155	11	13	NA	
##	END						
